"","Sum Sq","Df","F value","Pr(>F)"
"City_dist",0.000968826535578948,1,0.00618318510988034,0.937638211520435
"Residuals",7.83436463862957,50,NA,NA
"City_dist1",0.00514563508276744,1,0.0285264542222051,0.866940164211287
"Transect_ID",0.299517565825307,1,1.66047028069987,0.206778744397611
"City_dist:Transect_ID",0.169338891575578,1,0.938783660494565,0.339857524871374
"Residuals1",5.7721973213336,32,NA,NA
"Transect_ID1",0.294971497047938,1,1.68649192204834,0.202803312158865
"Residuals2",5.94668184799195,34,NA,NA
"City_dist2",0.000599566305399257,1,0.00326631609120797,0.954758919478168
"Residuals3",6.24105377873449,34,NA,NA
