Trait,Category,Year,,,
Cardenolide concentration,Defense,2020, ,,
Latex exudation,Defense,2020, ,,
Milkweed stem weevil damage,Defense,2020,,,
Milkweed stem weevil damage,Defense,2021, ,,
Herbivory,Defense,2020,,,
Herbivory,Defense,2021,,,
Herbivory,Defense,2019,,,
Specialist herbivore abundance (10 species)*,Herbivores,2020,,,
Specialist herbivore abundance (3 species)**,Herbivores,2021,,,
Leaf dry matter content (LDMC),Growth,2020, ,,           
Specific leaf area (SLA),Growth,2020, ,,           
Height,Growth,2019,,,
Height,Growth,2020,,,
Height,Growth,2021,,,
No. ramets,Growth,2019,,,
No. ramets,Growth,2020,,,
No. ramets,Growth,2021,,,
Relative growth rate,Growth,2019,,,
Relative growth rate,Growth,2020,,,
Relative growth rate,Growth,2021,,,
Mortality,Growth,2019,,,
Mortality,Growth,2020,,,
Mortality,Growth,2021,,,
Mortality,Growth,2022,,,
Date of first flower,Reproduction,2020,,,
Date of first flower,Reproduction,2021,,,
Date of first flower,Reproduction,2022,,,
"Date of first 2"" follicle",Reproduction,2020,,,
"Date of first 2"" follicle",Reproduction,2021,,,
"Date of first 2"" follicle",Reproduction,2022,,,
Flower size,Reproduction,2020,,,
Flower size,Reproduction,2021,,,
Flower size,Reproduction,2022,,,
Flowering duration,Reproduction,2020,,,
Flowering duration,Reproduction,2021,,,
Flowering duration,Reproduction,2022,,,
Flowering success,Reproduction,2020,,,
Flowering success,Reproduction,2021,,,
Flowering success,Reproduction,2022,,,
Flowers per inflorescence,Reproduction,2020,,,
Flowers per inflorescence,Reproduction,2021,,,
Flowers per inflorescence,Reproduction,2022,,,
Follicles,Reproduction,2020,,,
Follicles,Reproduction,2021,,,
Follicles,Reproduction,2022,,,
Inflorescences,Reproduction,2020,,,
Inflorescences,Reproduction,2021,,,
Inflorescences,Reproduction,2022,,,
Pollinaria removed,Reproduction,2020,,,
Pollinaria removed,Reproduction,2021,,,
Pollinaria removed,Reproduction,2022,,,
