"","variable","p","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"1","Herbivory_mean_early_binary",0.046,1,0.481,1,0.92,0.857111111111111,1
"2","cardenolide_6.6",0.068762046970925,1,0.481,1,0.92,0.879666666666667,1
"3","cardenolide_Total",0.0793474327723287,1,0.481,1,0.92,0.885818181818182,1
"4","log(Herbivory_mean_late)",0.119,1,0.481,1,0.92,0.92,1
"5","log(Scar_length_cm)",0.123,1,0.481,1,0.92,0.92,1
"6","Ramets_late",0.132,1,0.481,1,0.92,0.92,1
"7","sqrt(LDMC)",0.162,1,0.481,1,0.92,0.92,1
"8","Total_Height_late^(1/3)",0.168,1,0.481,1,0.92,0.92,1
"9","mean_flower_count",0.17,1,0.481,1,0.92,0.92,1
"10","Total_Height_early^(1/3)",0.185,1,0.481,1,0.92,0.92,1
"11","Ramets_early",0.325,1,0.768181818181818,1,0.92,0.92,1
"12","Scar_binary",0.442,1,0.840125,1,0.92,0.92,1
"13","Overall_mean",0.483,1,0.840125,1,0.92,0.92,1
"14","cardenolide_15",0.490854155403073,1,0.840125,1,0.92,0.92,1
"15","Herbivory_mean_late_binary",0.504,1,0.840125,1,0.92,0.92,1
"16","Peduncles",0.517,1,0.840125,1,0.92,0.92,1
"17","cardenolide_17.6",0.555407543722134,1,0.84448,1,0.92,0.92,1
"18","Latex_weight_mg^(1/3)",0.62,1,0.84448,1,0.92,0.92,1
"19","flowering_time_num",0.679,1,0.84448,1,0.92,0.92,1
"20","log(SLA + 1)",0.7,1,0.84448,1,0.92,0.92,1
"21","Flowered",0.753,1,0.84448,1,0.92,0.92,1
"22","Julian_oldest_inflor",0.777,1,0.84448,1,0.92,0.92,1
"23","rel_growth_rate^(1/3)",0.786,1,0.84448,1,0.92,0.92,1
"24","Dead",0.805,1,0.84448,1,0.92,0.92,1
"25","log(Herbivory_mean_early)",0.812,1,0.84448,1,0.92,0.92,1
"26","Pods",0.92,1,0.92,1,0.92,0.92,1
